id_str,text,created_at,"('user', 'id_str')"
737291276048060416,10 hours of mood lighting and IFE. See ya #london! Thanks @virginatlantic for the ride! #7… https://t.co/CjQM0SKoEY https://t.co/ybK3FTBs8d,Mon May 30 14:35:13 +0000 2016,5604652
737291307572469760,¿Qué tal los aviones de KLM? ¿Son limpios? ¿Llegas vivo? =),Mon May 30 14:35:20 +0000 2016,4846795384
737291311976435712,@lufthansa @Lufthansa_DE made it to the front of the line.....to wait on hold with Lufthansa. Great system. #worstairline,Mon May 30 14:35:21 +0000 2016,1048590913
737291322449629185,Terrorisme syndical : ce qui vous attend jour après jour... #CGT #SUD #SNCF #RATP #AirFrance  https://t.co/4BuswR7PpB,Mon May 30 14:35:24 +0000 2016,159277052
737291333828812800,#UltimaHora La aerolínea alemana Lufthansa anunció que suspenderá sus vuelos a Venezuela debido a la crisis económica,Mon May 30 14:35:26 +0000 2016,727235705122992128
737291354594758656,RT @periodicovzlano: ¡Más aislados! Lufthansa confirma que se va de Venezuela https://t.co/ctZXzmYpoh https://t.co/9yc4B3kDTj,Mon May 30 14:35:31 +0000 2016,2620606120
737291362576523264,"RT @CNNEE: Lufthansa suspenderá vuelos a Venezuela de manera indefinida
https://t.co/50ZOqPgQum",Mon May 30 14:35:33 +0000 2016,402065473
737291365206351872,"""Lufthansa ya no volará a Caracas ante caos económico"" https://t.co/t3UPgicTsb",Mon May 30 14:35:34 +0000 2016,2926090282
737291392184094720,@KLM @KLM_UKnow booked on a flight to Bolonga this evening( which is clearly not Florence). Please ensure my checked in bag makes the flight,Mon May 30 14:35:40 +0000 2016,599505963
737291400404946944,"@British_Airways Had two brilliant flights with BA on 12 and  26 May to/from Punta Cana, thank you to all the crew. See you again soon!",Mon May 30 14:35:42 +0000 2016,971927701
737291400988004352,"RT @Anita76911129: Lufthansa suspenderá vuelos a Venezuela de manera indefinida
 https://t.co/uj2UXDW2tZ via @CNNEE",Mon May 30 14:35:42 +0000 2016,4491184456
